Brand,Type,Reg_year,Reg_month,Days_since_registration,Coe_left,Depreciation,Mileage,Road_Tax,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,ARF,Power,Number_of_Owners,Price
Honda,Suv,2015,10,3395,1587,10310,50000,682,31237,56001,1496,1190,2015,Auto,19775,9775,96,2,49800
Suzuki,Hatchback,2007,12,6242,201,8210,203000,1030,6656,21349,1586,1060,2007,Manual,12154,13370,92,2,12800
Porsche,Sports Car,2017,7,2751,2202,34200,21000,1200,106829,50110,1988,1365,2017,Auto,71979,101563,220,1,259988
Hyundai,Mid-Sized Sedan,2014,11,3729,1252,11010,35000,738,31339,64900,1591,1292,2014,Auto,13856,13856,97,1,44800
Kia,Mid-Sized Sedan,2019,7,2036,2947,9450,21200,738,38416,30009,1591,1287,2018,Auto,18894,18894,93,1,85800
Bmw,Luxury Sedan,2012,12,4438,178,17610,170000,1210,33118,86889,1997,1420,2012,Auto,38514,38514,135,2,45600
Mitsubishi,Mid-Sized Sedan,2008,3,6151,2481,7470,251000,1694,30648,44998,1998,1427,2007,Auto,17722,17722,114,2,50900
Mercedes-Benz,Luxury Sedan,2016,2,3257,1722,18450,84000,1202,70842,50089,1991,1680,2015,Auto,52959,67327,155,2,120999
Mercedes-Benz,Luxury Sedan,2015,5,3548,1432,18550,98000,740,47541,68668,1595,1425,2015,Auto,35392,31549,115,1,88800
Audi,Sports Car,2010,11,5179,3453,11280,105000,2618,37909,40014,2995,1755,2010,Auto,64519,64519,245,5,106888
Mazda,Mid-Sized Sedan,2015,10,3389,1593,10100,108138,682,34406,57498,1496,1321,2015,Auto,18235,13235,88,1,50800
Toyota,Mpv,2018,12,2242,2738,9310,29339,682,32480,25556,1496,1325,2018,Auto,17699,17699,79,1,78800
Toyota,Mpv,2017,9,2679,2302,10720,49000,682,36490,44002,1496,1320,2016,Auto,21145,11603,80,1,73500
Honda,Mpv,2008,12,5885,2747,6340,142000,1271,23790,31553,1799,1350,2008,Auto,17982,17982,103,4,47800
Mazda,Mid-Sized Sedan,2014,12,3687,1294,10690,102000,682,26681,65889,1496,1339,2014,Auto,14208,5000,88,2,40500
Bmw,Luxury Sedan,2016,7,3128,1825,14440,65800,684,49546,55100,1499,1425,2016,Auto,29816,28743,100,1,87800
Audi,Luxury Sedan,2017,1,2931,2048,11500,90000,392,40968,50889,999,1280,2016,Auto,24614,16460,85,2,72888
Bmw,Luxury Sedan,2019,11,1904,3076,19620,26339,1210,83562,40009,1998,1530,2019,Auto,52437,66387,135,1,198800
Bmw,Suv,2020,8,1637,3315,28220,14000,2384,110552,37102,2998,1845,2020,Auto,72244,102040,285,1,309800
Bmw,Luxury Sedan,2008,3,6166,2453,11260,133000,3307,34074,50578,2979,1535,2007,Manual,66046,66046,225,1,75888
Mercedes-Benz,Hatchback,2019,6,2050,2933,14490,22500,586,60868,39728,1332,1375,2019,Auto,33259,38563,120,2,135800
Honda,Mid-Sized Sedan,2016,10,3036,1945,12750,80000,684,48059,57010,1498,1324,2016,Auto,26078,23510,127,1,79800
Bmw,Suv,2020,10,1563,3417,23840,5072,1210,91488,40790,1998,1750,2020,Auto,59276,78697,185,1,262800
Bmw,Mpv,2019,4,2105,2874,12660,49317,684,49819,29159,1499,1490,2019,Auto,31249,35749,80,1,117800
Mitsubishi,Mid-Sized Sedan,2015,10,3397,1585,8500,48752,506,28516,57498,1193,940,2015,Auto,13062,5000,57,1,39500
Bmw,Suv,2020,9,1601,3379,22190,5366,1210,81505,38110,1998,1745,2020,Auto,53451,68212,185,1,239800
Toyota,Mid-Sized Sedan,2010,1,5495,3125,5830,101300,821,27421,31976,1497,1095,2009,Auto,12717,12717,80,4,49988
Audi,Luxury Sedan,2018,11,2267,2713,11460,66041,624,42780,32302,1395,1320,2018,Auto,23548,24968,110,1,97800
Honda,Stationwagon,2016,8,3099,1854,10140,63584,682,32162,52301,1496,1130,2015,Auto,16869,6869,97,4,55800
Volkswagen,Mid-Sized Sedan,2015,7,3470,1484,9170,65023,620,35451,55889,1390,1417,2015,Auto,17505,17505,90,1,46800
Bmw,Suv,2018,8,2367,2615,16160,34503,1210,59155,32551,1998,1460,2018,Auto,39816,47743,141,1,139800
Toyota,Suv,2017,3,2872,2108,13090,83254,1196,50616,53300,1986,1580,2016,Auto,28119,26367,111,2,88900
Nissan,Suv,2016,5,3180,1799,10090,55000,1210,37164,47000,1997,1379,2016,Auto,19906,19906,106,3,59800
Lexus,Luxury Sedan,2017,12,2603,2377,15590,61000,1210,68175,53711,1998,1620,2017,Auto,37274,44184,180,1,123800
Audi,Luxury Sedan,2009,2,5831,2799,7280,176000,1552,24549,31933,1984,1550,2008,Auto,44257,44257,125,6,56000
Mercedes-Benz,Luxury Sedan,2018,3,2520,2460,15510,69000,740,61912,42661,1595,1425,2017,Auto,37239,44135,115,2,126800
