Brand,Type,Reg_year,Coe_left,Depreciation,Mileage,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,Power,Number_of_Owners,Price
Honda,Suv,2015,1587,10310,50000,31237,56001,1496,1190,2015,Auto,19775,96,2,49800
Suzuki,Hatchback,2007,201,8210,203000,6656,21349,1586,1060,2007,Manual,12154,92,2,12800
Porsche,Sports Car,2017,2202,34200,21000,106829,50110,1988,1365,2017,Auto,71979,220,1,259988
Hyundai,Mid-Sized Sedan,2014,1252,11010,35000,31339,64900,1591,1292,2014,Auto,13856,97,1,44800
Kia,Mid-Sized Sedan,2019,2947,9450,21200,38416,30009,1591,1287,2018,Auto,18894,93,1,85800
Bmw,Luxury Sedan,2012,178,17610,170000,33118,86889,1997,1420,2012,Auto,38514,135,2,45600
Mitsubishi,Mid-Sized Sedan,2008,2481,7470,251000,30648,44998,1998,1427,2007,Auto,17722,114,2,50900
Mercedes-Benz,Luxury Sedan,2016,1722,18450,84000,70842,50089,1991,1680,2015,Auto,52959,155,2,120999
Mercedes-Benz,Luxury Sedan,2015,1432,18550,98000,47541,68668,1595,1425,2015,Auto,35392,115,1,88800
Audi,Sports Car,2010,3453,11280,105000,37909,40014,2995,1755,2010,Auto,64519,245,5,106888
Mazda,Mid-Sized Sedan,2015,1593,10100,108138,34406,57498,1496,1321,2015,Auto,18235,88,1,50800
Toyota,Mpv,2018,2738,9310,29339,32480,25556,1496,1325,2018,Auto,17699,79,1,78800
Toyota,Mpv,2017,2302,10720,49000,36490,44002,1496,1320,2016,Auto,21145,80,1,73500
Honda,Mpv,2008,2747,6340,142000,23790,31553,1799,1350,2008,Auto,17982,103,4,47800
Mazda,Mid-Sized Sedan,2014,1294,10690,102000,26681,65889,1496,1339,2014,Auto,14208,88,2,40500
Bmw,Luxury Sedan,2016,1825,14440,65800,49546,55100,1499,1425,2016,Auto,29816,100,1,87800
Audi,Luxury Sedan,2017,2048,11500,90000,40968,50889,999,1280,2016,Auto,24614,85,2,72888
Bmw,Luxury Sedan,2019,3076,19620,26339,83562,40009,1998,1530,2019,Auto,52437,135,1,198800
Bmw,Suv,2020,3315,28220,14000,110552,37102,2998,1845,2020,Auto,72244,285,1,309800
Bmw,Luxury Sedan,2008,2453,11260,133000,34074,50578,2979,1535,2007,Manual,66046,225,1,75888
Mercedes-Benz,Hatchback,2019,2933,14490,22500,60868,39728,1332,1375,2019,Auto,33259,120,2,135800
Honda,Mid-Sized Sedan,2016,1945,12750,80000,48059,57010,1498,1324,2016,Auto,26078,127,1,79800
